ticker_id,provider,date,net_flow_internal,net_flow_mstar,net_flow_bbg,net_flow_rel_diff_mstar,net_flow_rel_diff_bbg,num_flags_mstar,num_flags_bbg
SPY,BlackRock,2024-01-01,50837001.46,57491069.43,50260934.22,0.1309,0.0113,1,0
SPY,BlackRock,2024-01-02,-308102601.07,-307909276.78,-307607401.01,-0.0006,-0.0016,0,1
SPY,BlackRock,2024-01-09,208160538.06,212989340.44,206897140.11,0.0232,0.0061,0,1
SPY,BlackRock,2024-01-10,-336980637.5,-337934931.79,-334091359.14,-0.0028,-0.0086,0,1
SPY,BlackRock,2024-01-17,-106795289.12,-108062091.1,-107806878.16,-0.0119,-0.0095,1,1
SPY,BlackRock,2024-01-20,-347847768.92,-348421172.33,-342157494.71,-0.0016,-0.0164,0,1
SPY,BlackRock,2024-01-22,265832242.23,266830157.46,265312580.26,0.0038,0.002,0,1
SPY,BlackRock,2024-01-24,101928981.74,101181483.44,106370068.12,0.0073,0.0436,0,1
SPY,BlackRock,2024-01-27,-226341994.61,-224173687.39,-224137792.27,-0.0096,-0.0097,0,1
SPY,BlackRock,2024-02-01,57883964.41,57857190.56,57820630.19,0.0005,0.0011,1,0
SPY,BlackRock,2024-02-02,49004880.88,44975936.91,49295558.17,0.0822,0.0059,1,0
SPY,BlackRock,2024-02-08,-83021780.58,-75323931.8,-88485153.09,-0.0927,-0.0658,1,0
SPY,BlackRock,2024-02-11,94537605.05,94551814.25,92926234.19,0.0002,0.017,1,1
SPY,BlackRock,2024-02-17,-284052072.03,-283984125.14,-286794380.04,-0.0002,-0.0097,0,1
SPY,BlackRock,2024-02-19,252011472.16,254284851.48,257257973.69,0.009,0.0208,0,1
SPY,BlackRock,2024-02-23,18054828.59,19044777.94,10577775.59,0.0548,0.4141,0,1
SPY,BlackRock,2024-02-26,-306585314.81,-307616975.21,-303801660.44,-0.0034,-0.0091,0,1
SPY,BlackRock,2024-03-02,-59381679.41,-60970511.63,-60620982.06,-0.0268,-0.0209,1,1
SPY,BlackRock,2024-03-06,34049174.54,30495853.49,36226991.88,0.1044,0.064,1,0
SPY,BlackRock,2024-03-07,-104484019.14,-106886865.58,-103426663.22,-0.023,-0.0101,0,1
SPY,BlackRock,2024-03-10,32174044.19,32252808.05,36273538.59,0.0024,0.1274,0,1
SPY,BlackRock,2024-03-21,25125523.42,28123066.25,24889283.73,0.1193,0.0094,1,0
SPY,BlackRock,2024-03-23,3746412.85,6470415.98,3328082.39,0.7271,0.1117,1,1
SPY,BlackRock,2024-03-26,206777937.66,209782682.47,213031244.44,0.0145,0.0302,0,1
SPY,BlackRock,2024-03-28,-2610923.46,-656520.68,-3752798.41,-0.7485,-0.4373,2,1
SPY,BlackRock,2024-04-01,-36905084.77,-36995739.0,-15319023.71,-0.0025,-0.5849,0,1
SPY,BlackRock,2024-04-04,137454086.92,137878815.85,134541894.27,0.0031,0.0212,0,1
SPY,BlackRock,2024-04-11,143487565.98,143434156.18,136431784.57,0.0004,0.0492,0,1
SPY,BlackRock,2024-04-12,6917828.72,7684544.31,4518556.79,0.1108,0.3468,1,1
SPY,BlackRock,2024-04-14,224869943.66,221020532.29,226085767.11,0.0171,0.0054,1,1
SPY,BlackRock,2024-04-17,-213231491.85,-207811888.66,-208678356.19,-0.0254,-0.0214,1,1
SPY,BlackRock,2024-04-21,-94474098.49,-93555046.97,-92337869.22,-0.0097,-0.0226,0,1
SPY,BlackRock,2024-04-22,313253899.05,309510050.69,311129648.08,0.012,0.0068,1,1
SPY,BlackRock,2024-04-30,-304799457.59,-301941018.86,-296728387.39,-0.0094,-0.0265,1,1
SPY,BlackRock,2024-05-02,144259396.16,145854976.17,143456137.51,0.0111,0.0056,1,1
SPY,BlackRock,2024-05-06,747635.51,487952.36,5547251.19,0.3473,6.4197,1,1
SPY,BlackRock,2024-05-07,-187574155.22,-186652723.3,-188981171.27,-0.0049,-0.0075,1,0
SPY,BlackRock,2024-05-10,197153701.05,193718177.56,204560063.96,0.0174,0.0376,1,0
SPY,BlackRock,2024-05-17,-174358095.72,-168328683.64,-174984731.17,-0.0346,-0.0036,1,1
SPY,BlackRock,2024-05-18,-23835046.81,-24550341.47,-22686398.46,-0.03,-0.0482,0,1
SPY,BlackRock,2024-05-21,-281998534.69,-277260135.52,-279886827.56,-0.0168,-0.0075,1,0
SPY,BlackRock,2024-05-22,-365152939.41,-362587496.49,-363730417.6,-0.007,-0.0039,1,1
SPY,BlackRock,2024-05-23,-183032296.35,-183510707.53,-183238677.48,-0.0026,-0.0011,0,1
SPY,BlackRock,2024-06-01,33700559.99,37261012.87,36192856.54,0.1056,0.074,1,0
SPY,BlackRock,2024-06-03,7187613.07,10204624.59,9996678.1,0.4198,0.3908,3,3
SPY,BlackRock,2024-06-07,-308199575.92,-305504348.91,-306626031.81,-0.0087,-0.0051,1,1
SPY,BlackRock,2024-06-11,-168925313.91,-168498552.73,-162560891.18,-0.0025,-0.0377,0,1
SPY,BlackRock,2024-06-17,46449082.82,46285860.48,46245068.81,0.0035,0.0044,1,1
SPY,BlackRock,2024-06-24,-20213636.62,-23660605.2,-19951241.74,-0.1705,-0.013,1,0
SPY,BlackRock,2024-06-25,-9095937.2,-14276272.37,-9205691.86,-0.5695,-0.0121,1,0
SPY,BlackRock,2024-06-28,57732274.38,59124534.09,71191520.03,0.0241,0.2331,0,3
SPY,BlackRock,2024-07-03,-82278257.14,-81722978.91,-80201581.51,-0.0067,-0.0252,0,1
SPY,BlackRock,2024-07-07,-82260738.92,-82261517.9,-80657973.16,-0.0,-0.0195,1,1
SPY,BlackRock,2024-07-09,-129723929.07,-132827481.14,-122971879.79,-0.0239,-0.052,0,1
SPY,BlackRock,2024-07-11,-115147011.7,-111277396.12,-119189311.92,-0.0336,-0.0351,1,1
SPY,BlackRock,2024-07-12,-293870735.48,-291954739.46,-285914829.56,-0.0065,-0.0271,1,1
SPY,BlackRock,2024-07-18,-19474074.03,-17068418.52,-6710851.56,-0.1235,-0.6554,0,1
SPY,BlackRock,2024-07-21,-169390375.47,-169011097.44,-166416572.06,-0.0022,-0.0176,1,1
SPY,BlackRock,2024-07-22,-108973742.57,-105701140.54,-107395826.27,-0.03,-0.0145,1,1
SPY,BlackRock,2024-07-24,-189780005.01,-181713606.22,-192914033.97,-0.0425,-0.0165,1,0
SPY,BlackRock,2024-07-30,183302303.65,183881563.2,178485732.35,0.0032,0.0263,0,1
SPY,BlackRock,2024-08-06,-257215007.15,-250156433.06,-260651435.21,-0.0274,-0.0134,1,1
SPY,BlackRock,2024-08-08,14477401.52,19879058.55,13186556.93,0.3731,0.0892,1,0
SPY,BlackRock,2024-08-17,33022553.53,37116370.5,31451324.6,0.124,0.0476,1,0
SPY,BlackRock,2024-08-20,-204497699.2,-206338273.3,-206621831.55,-0.009,-0.0104,1,0
SPY,BlackRock,2024-08-28,-165044180.38,-164899845.14,-160552279.27,-0.0009,-0.0272,0,1
SPY,BlackRock,2024-08-29,-325611039.71,-323835856.5,-325751689.15,-0.0055,-0.0004,1,1
SPY,BlackRock,2024-09-02,3354617.44,5676987.38,3146358.19,0.6923,0.0621,1,0
SPY,BlackRock,2024-09-05,-106922085.11,-104402669.78,-108746294.08,-0.0236,-0.0171,1,1
SPY,BlackRock,2024-09-12,-347538287.4,-341673519.13,-346035445.26,-0.0169,-0.0043,1,0
SPY,BlackRock,2024-09-15,5510104.23,5543941.88,1566903.49,0.0061,0.7156,0,1
SPY,BlackRock,2024-09-16,190304962.9,190474334.35,188840056.86,0.0009,0.0077,0,1
SPY,BlackRock,2024-09-21,-49857432.81,-45408882.24,-47563654.44,-0.0892,-0.046,1,1
